Geography,Violations ,2008,2009,2010,2011,2012
"Saskatoon, Saskatchewan",Driving while prohibited,51,58,64,60,52
"Saskatoon, Saskatchewan",Other Criminal Code traffic violations,1,0,0,0,0
"Saskatoon, Saskatchewan",Causing death by criminal negligence while street racing,1,0,0,0,0
"Saskatoon, Saskatchewan",Causing bodily harm by criminal negligence while street racing,0,1,0,0,0
"Saskatoon, Saskatchewan",Dangerous operation causing death while street racing,,,0,0,0
"Saskatoon, Saskatchewan",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Saskatoon, Saskatchewan",Dangerous operation of motor vehicle while street racing,2,2,0,0,1
Alberta,"Total, all violations",361213,351582,338660,317298,317164
Alberta,Total Criminal Code traffic violations,23472,22475,21964,21904,21422
Alberta,Total impaired driving (49),17075,17051,16879,16674,16156
Alberta,"Impaired operation, causing death",34,33,27,20,27
Alberta,"Impaired operation (drugs), causing death",0,1,0,0,0
Alberta,"Impaired operation, causing bodily harm",115,89,93,96,84
Alberta,"Impaired operation (drugs), causing bodily harm",0,1,2,3,0
Alberta,"Impaired operation of motor vehicle, vessel or aircraft (51)",16275,16099,15780,15508,14971
Alberta,"Impaired operation (drugs) vehicle, vessel, aircraft",151,338,472,479,386
Alberta,"Impaired operation, failure to provide breath sample",477,470,498,559,679
Alberta,Failure to comply or refusal (drugs),0,4,4,6,4
Alberta,"Impaired operation, failure to provide blood sample",23,14,3,2,5
Alberta,Failure to provide blood sample (drugs),0,2,0,1,0
Alberta,Total other Criminal Code traffic violations,6397,5424,5085,5230,5266
Alberta,"Dangerous operation, causing death",17,12,7,12,11
Alberta,"Dangerous operation, causing bodily harm",109,97,88,100,83
Alberta,"Dangerous operation of motor vehicle, vessel or aircraft",1756,1607,1490,1497,1473
Alberta,"Dangerous operation evading police, causing death",0,0,0,0,1
Alberta,"Dangerous operation evading police, causing bodily harm",4,6,3,4,4
Alberta,Dangerous operation of motor vehicle evading police,340,260,245,239,237
Alberta,Total fail to stop or remain (46),2525,1859,1640,1850,1872
Alberta,Driving while prohibited,1620,1553,1588,1498,1556
Alberta,Other Criminal Code traffic violations,4,5,4,4,3
Alberta,Causing death by criminal negligence while street racing,0,1,0,0,0
Alberta,Causing bodily harm by criminal negligence while street racing,,,0,0,2
Alberta,Dangerous operation causing death while street racing,,,1,1,0
Alberta,Dangerous operation causing bodily harm while street racing,2,1,0,0,0
Alberta,Dangerous operation of motor vehicle while street racing,20,23,19,25,24
"Calgary, Alberta","Total, all violations",73257,71234,68176,64480,62216
"Calgary, Alberta",Total Criminal Code traffic violations,2883,3051,2953,3220,3190
"Calgary, Alberta",Total impaired driving (49),2205,2358,2384,2617,2618
"Calgary, Alberta","Impaired operation, causing death",3,3,2,4,3
"Calgary, Alberta","Impaired operation (drugs), causing death",0,1,0,0,0
"Calgary, Alberta","Impaired operation, causing bodily harm",15,19,15,10,11
"Calgary, Alberta","Impaired operation (drugs), causing bodily harm",,,0,1,0
"Calgary, Alberta","Impaired operation of motor vehicle, vessel or aircraft (51)",2067,2190,2232,2405,2406
"Calgary, Alberta","Impaired operation (drugs) vehicle, vessel, aircraft",2,21,29,37,27
"Calgary, Alberta","Impaired operation, failure to provide breath sample",117,121,105,156,171
"Calgary, Alberta",Failure to comply or refusal (drugs),0,2,1,3,0
"Calgary, Alberta","Impaired operation, failure to provide blood sample",1,1,0,0,0
"Calgary, Alberta",Failure to provide blood sample (drugs),,,0,1,0
"Calgary, Alberta",Total other Criminal Code traffic violations,678,693,569,603,572
"Calgary, Alberta","Dangerous operation, causing death",2,0,0,2,4
"Calgary, Alberta","Dangerous operation, causing bodily harm",22,16,14,20,7
"Calgary, Alberta","Dangerous operation of motor vehicle, vessel or aircraft",219,220,178,190,159
"Calgary, Alberta","Dangerous operation evading police, causing death",0,0,0,0,0
"Calgary, Alberta","Dangerous operation evading police, causing bodily harm",2,1,0,2,1
"Calgary, Alberta",Dangerous operation of motor vehicle evading police,26,32,13,23,15
"Calgary, Alberta",Total fail to stop or remain (46),228,207,169,182,195
"Calgary, Alberta",Driving while prohibited,175,215,191,183,188
"Calgary, Alberta",Other Criminal Code traffic violations,2,0,2,1,1
"Calgary, Alberta",Causing death by criminal negligence while street racing,,,0,0,0
"Calgary, Alberta",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Calgary, Alberta",Dangerous operation causing death while street racing,,,0,0,0
"Calgary, Alberta",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Calgary, Alberta",Dangerous operation of motor vehicle while street racing,2,2,2,0,2
"Edmonton, Alberta","Total, all violations",111627,111038,102537,92489,92309
"Edmonton, Alberta",Total Criminal Code traffic violations,5807,6001,5652,5425,5181
"Edmonton, Alberta",Total impaired driving (49),4085,4223,4051,3933,3643
"Edmonton, Alberta","Impaired operation, causing death",4,9,3,4,3
"Edmonton, Alberta","Impaired operation (drugs), causing death",,,0,0,0
"Edmonton, Alberta","Impaired operation, causing bodily harm",27,22,25,27,23
"Edmonton, Alberta","Impaired operation (drugs), causing bodily harm",,1,1,0,0
"Edmonton, Alberta","Impaired operation of motor vehicle, vessel or aircraft (51)",3911,3961,3729,3591,3298
"Edmonton, Alberta","Impaired operation (drugs) vehicle, vessel, aircraft",41,104,137,151,129
"Edmonton, Alberta","Impaired operation, failure to provide breath sample",102,124,155,157,186
"Edmonton, Alberta",Failure to comply or refusal (drugs),0,0,1,2,3
"Edmonton, Alberta","Impaired operation, failure to provide blood sample",0,0,0,1,1
"Edmonton, Alberta",Failure to provide blood sample (drugs),0,2,0,0,0
"Edmonton, Alberta",Total other Criminal Code traffic violations,1722,1778,1601,1492,1538
"Edmonton, Alberta","Dangerous operation, causing death",0,4,2,1,0
"Edmonton, Alberta","Dangerous operation, causing bodily harm",26,28,19,17,16
"Edmonton, Alberta","Dangerous operation of motor vehicle, vessel or aircraft",334,311,263,249,282
"Edmonton, Alberta","Dangerous operation evading police, causing death",0,0,0,0,1
"Edmonton, Alberta","Dangerous operation evading police, causing bodily harm",1,2,1,1,1
"Edmonton, Alberta",Dangerous operation of motor vehicle evading police,105,107,104,87,93
"Edmonton, Alberta",Total fail to stop or remain (46),371,451,367,322,331
"Edmonton, Alberta",Driving while prohibited,884,870,842,808,808
"Edmonton, Alberta",Other Criminal Code traffic violations,1,1,0,1,1
"Edmonton, Alberta",Causing death by criminal negligence while street racing,,,0,0,0
"Edmonton, Alberta",Causing bodily harm by criminal negligence while street racing,,,0,0,1
"Edmonton, Alberta",Dangerous operation causing death while street racing,,,1,1,0
"Edmonton, Alberta",Dangerous operation causing bodily harm while street racing,0,1,0,0,0
"Edmonton, Alberta",Dangerous operation of motor vehicle while street racing,0,3,2,5,4
"British Columbia (28,41,49)","Total, all violations",473466,454075,438298,418763,410118
"British Columbia (28,41,49)",Total Criminal Code traffic violations,19008,21596,20460,22511,17997
"British Columbia (28,41,49)",Total impaired driving (49),14304,17248,16186,18687,14395
"British Columbia (28,41,49)","Impaired operation, causing death",29,17,22,15,15
"British Columbia (28,41,49)","Impaired operation (drugs), causing death",0,2,1,1,3
"British Columbia (28,41,49)","Impaired operation, causing bodily harm",107,105,80,74,59
"British Columbia (28,41,49)","Impaired operation (drugs), causing bodily harm",1,2,3,4,3
"British Columbia (28,41,49)","Impaired operation of motor vehicle, vessel or aircraft (51)",13283,15931,14898,17113,12913
"British Columbia (28,41,49)","Impaired operation (drugs) vehicle, vessel, aircraft",53,260,248,300,348
"British Columbia (28,41,49)","Impaired operation, failure to provide breath sample",818,912,918,1173,1042
"British Columbia (28,41,49)",Failure to comply or refusal (drugs),1,1,3,1,4
"British Columbia (28,41,49)","Impaired operation, failure to provide blood sample",12,18,13,6,8
"British Columbia (28,41,49)",Failure to provide blood sample (drugs),0,0,0,0,0
"British Columbia (28,41,49)",Total other Criminal Code traffic violations,4704,4348,4274,3824,3602
"British Columbia (28,41,49)","Dangerous operation, causing death",27,20,22,22,10
"British Columbia (28,41,49)","Dangerous operation, causing bodily harm",64,63,61,37,31
"British Columbia (28,41,49)","Dangerous operation of motor vehicle, vessel or aircraft",447,375,397,367,473
"British Columbia (28,41,49)","Dangerous operation evading police, causing death",0,1,0,2,0
"British Columbia (28,41,49)","Dangerous operation evading police, causing bodily harm",6,9,6,4,2
"British Columbia (28,41,49)",Dangerous operation of motor vehicle evading police,489,434,576,539,474
"British Columbia (28,41,49)",Total fail to stop or remain (46),2647,2465,2248,1906,1960
"British Columbia (28,41,49)",Driving while prohibited,1009,954,941,929,632
"British Columbia (28,41,49)",Other Criminal Code traffic violations,3,4,5,1,2
"British Columbia (28,41,49)",Causing death by criminal negligence while street racing,,,0,0,0
"British Columbia (28,41,49)",Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
"British Columbia (28,41,49)",Dangerous operation causing death while street racing,,,0,0,0
"British Columbia (28,41,49)",Dangerous operation causing bodily harm while street racing,0,1,0,0,0
"British Columbia (28,41,49)",Dangerous operation of motor vehicle while street racing,12,22,18,17,18
"Kelowna, British Columbia (8,28)","Total, all violations",21080,20834,19545,18042,19003
"Kelowna, British Columbia (8,28)",Total Criminal Code traffic violations,835,1057,1161,1292,1057
"Kelowna, British Columbia (8,28)",Total impaired driving (49),544,808,865,1067,873
"Kelowna, British Columbia (8,28)","Impaired operation, causing death",0,3,1,0,1
"Kelowna, British Columbia (8,28)","Impaired operation (drugs), causing death",,,0,0,0
"Kelowna, British Columbia (8,28)","Impaired operation, causing bodily harm",2,6,3,3,4
"Kelowna, British Columbia (8,28)","Impaired operation (drugs), causing bodily harm",,,0,1,0
"Kelowna, British Columbia (8,28)","Impaired operation of motor vehicle, vessel or aircraft (51)",498,730,796,988,792
"Kelowna, British Columbia (8,28)","Impaired operation (drugs) vehicle, vessel, aircraft",8,13,12,16,23
"Kelowna, British Columbia (8,28)","Impaired operation, failure to provide breath sample",35,53,53,58,51
"Kelowna, British Columbia (8,28)",Failure to comply or refusal (drugs),,,0,0,1
"Kelowna, British Columbia (8,28)","Impaired operation, failure to provide blood sample",1,3,0,1,1
"Kelowna, British Columbia (8,28)",Failure to provide blood sample (drugs),,,0,0,0
"Kelowna, British Columbia (8,28)",Total other Criminal Code traffic violations,291,249,296,225,184
"Kelowna, British Columbia (8,28)","Dangerous operation, causing death",3,3,0,1,1
"Kelowna, British Columbia (8,28)","Dangerous operation, causing bodily harm",2,2,2,3,0
"Kelowna, British Columbia (8,28)","Dangerous operation of motor vehicle, vessel or aircraft",19,17,27,26,14
"Kelowna, British Columbia (8,28)","Dangerous operation evading police, causing death",0,0,0,0,0
"Kelowna, British Columbia (8,28)","Dangerous operation evading police, causing bodily harm",0,0,1,0,0
"Kelowna, British Columbia (8,28)",Dangerous operation of motor vehicle evading police,22,21,25,33,22
"Kelowna, British Columbia (8,28)",Total fail to stop or remain (46),191,154,160,120,120
"Kelowna, British Columbia (8,28)",Driving while prohibited,54,51,77,42,26
"Kelowna, British Columbia (8,28)",Other Criminal Code traffic violations,0,0,3,0,0
"Kelowna, British Columbia (8,28)",Causing death by criminal negligence while street racing,,,0,0,0
"Kelowna, British Columbia (8,28)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Kelowna, British Columbia (8,28)",Dangerous operation causing death while street racing,,,0,0,0
"Kelowna, British Columbia (8,28)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Kelowna, British Columbia (8,28)",Dangerous operation of motor vehicle while street racing,0,1,1,0,1
"Abbotsford-Mission, British Columbia (8,28)","Total, all violations",18069,15060,14727,13405,12591
"Abbotsford-Mission, British Columbia (8,28)",Total Criminal Code traffic violations,655,703,734,745,602
"Abbotsford-Mission, British Columbia (8,28)",Total impaired driving (49),521,596,622,652,522
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation, causing death",1,0,1,0,1
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation (drugs), causing death",,,1,0,0
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation, causing bodily harm",5,4,4,2,0
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation (drugs), causing bodily harm",,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation of motor vehicle, vessel or aircraft (51)",493,548,563,589,455
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation (drugs) vehicle, vessel, aircraft",0,9,12,3,10
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation, failure to provide breath sample",22,35,41,58,55
"Abbotsford-Mission, British Columbia (8,28)",Failure to comply or refusal (drugs),,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)","Impaired operation, failure to provide blood sample",0,0,0,0,1
"Abbotsford-Mission, British Columbia (8,28)",Failure to provide blood sample (drugs),,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Total other Criminal Code traffic violations,134,107,112,93,80
"Abbotsford-Mission, British Columbia (8,28)","Dangerous operation, causing death",1,0,3,1,2
"Abbotsford-Mission, British Columbia (8,28)","Dangerous operation, causing bodily harm",2,2,2,1,0
"Abbotsford-Mission, British Columbia (8,28)","Dangerous operation of motor vehicle, vessel or aircraft",18,9,14,7,16
"Abbotsford-Mission, British Columbia (8,28)","Dangerous operation evading police, causing death",0,0,0,0,0
"Abbotsford-Mission, British Columbia (8,28)","Dangerous operation evading police, causing bodily harm",0,0,0,1,0
"Abbotsford-Mission, British Columbia (8,28)",Dangerous operation of motor vehicle evading police,43,40,38,30,23
"Abbotsford-Mission, British Columbia (8,28)",Total fail to stop or remain (46),26,10,20,17,16
"Abbotsford-Mission, British Columbia (8,28)",Driving while prohibited,43,46,35,36,22
"Abbotsford-Mission, British Columbia (8,28)",Other Criminal Code traffic violations,0,0,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Causing death by criminal negligence while street racing,,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Dangerous operation causing death while street racing,,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Abbotsford-Mission, British Columbia (8,28)",Dangerous operation of motor vehicle while street racing,1,0,0,0,1
"Vancouver, British Columbia (12,13,14,28)","Total, all violations",218150,209314,201931,195258,191036
"Vancouver, British Columbia (12,13,14,28)",Total Criminal Code traffic violations,8147,9151,8539,9186,7024
"Vancouver, British Columbia (12,13,14,28)",Total impaired driving (49),5685,6809,6102,7026,4884
"Vancouver, British Columbia (12,13,14,28)","Impaired operation, causing death",10,7,7,6,2
"Vancouver, British Columbia (12,13,14,28)","Impaired operation (drugs), causing death",,,0,0,0
"Vancouver, British Columbia (12,13,14,28)","Impaired operation, causing bodily harm",31,23,22,21,14
"Vancouver, British Columbia (12,13,14,28)","Impaired operation (drugs), causing bodily harm",1,1,1,0,1
"Vancouver, British Columbia (12,13,14,28)","Impaired operation of motor vehicle, vessel or aircraft (51)",5224,6261,5545,6372,4308
"Vancouver, British Columbia (12,13,14,28)","Impaired operation (drugs) vehicle, vessel, aircraft",16,76,72,78,83
"Vancouver, British Columbia (12,13,14,28)","Impaired operation, failure to provide breath sample",400,435,445,547,472
"Vancouver, British Columbia (12,13,14,28)",Failure to comply or refusal (drugs),,,2,1,2
"Vancouver, British Columbia (12,13,14,28)","Impaired operation, failure to provide blood sample",3,6,8,1,2
"Vancouver, British Columbia (12,13,14,28)",Failure to provide blood sample (drugs),,,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Total other Criminal Code traffic violations,2462,2342,2437,2160,2140
"Vancouver, British Columbia (12,13,14,28)","Dangerous operation, causing death",8,5,3,7,0
"Vancouver, British Columbia (12,13,14,28)","Dangerous operation, causing bodily harm",18,19,21,17,13
"Vancouver, British Columbia (12,13,14,28)","Dangerous operation of motor vehicle, vessel or aircraft",174,134,165,135,181
"Vancouver, British Columbia (12,13,14,28)","Dangerous operation evading police, causing death",0,1,0,2,0
"Vancouver, British Columbia (12,13,14,28)","Dangerous operation evading police, causing bodily harm",2,5,4,3,2
"Vancouver, British Columbia (12,13,14,28)",Dangerous operation of motor vehicle evading police,248,268,372,332,274
"Vancouver, British Columbia (12,13,14,28)",Total fail to stop or remain (46),1643,1594,1553,1336,1415
"Vancouver, British Columbia (12,13,14,28)",Driving while prohibited,364,310,308,316,250
"Vancouver, British Columbia (12,13,14,28)",Other Criminal Code traffic violations,0,0,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Causing death by criminal negligence while street racing,,,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Causing bodily harm by criminal negligence while street racing,0,0,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Dangerous operation causing death while street racing,,,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Vancouver, British Columbia (12,13,14,28)",Dangerous operation of motor vehicle while street racing,5,6,11,12,5
"Victoria, British Columbia (28)","Total, all violations",32898,32160,31184,26764,25040
"Victoria, British Columbia (28)",Total Criminal Code traffic violations,1477,1575,1350,1389,1151
"Victoria, British Columbia (28)",Total impaired driving (49),1222,1344,1134,1263,1018
"Victoria, British Columbia (28)","Impaired operation, causing death",2,0,0,1,0
"Victoria, British Columbia (28)","Impaired operation (drugs), causing death",,,0,0,0
"Victoria, British Columbia (28)","Impaired operation, causing bodily harm",5,6,4,2,5
"Victoria, British Columbia (28)","Impaired operation (drugs), causing bodily harm",,,0,0,1
"Victoria, British Columbia (28)","Impaired operation of motor vehicle, vessel or aircraft (51)",1175,1262,1057,1142,908
"Victoria, British Columbia (28)","Impaired operation (drugs) vehicle, vessel, aircraft",10,39,40,54,39
"Victoria, British Columbia (28)","Impaired operation, failure to provide breath sample",29,35,33,64,63
"Victoria, British Columbia (28)",Failure to comply or refusal (drugs),,,0,0,0
"Victoria, British Columbia (28)","Impaired operation, failure to provide blood sample",1,2,0,0,2
"Victoria, British Columbia (28)",Failure to provide blood sample (drugs),,,0,0,0
"Victoria, British Columbia (28)",Total other Criminal Code traffic violations,255,231,216,126,133
"Victoria, British Columbia (28)","Dangerous operation, causing death",2,2,1,1,0
"Victoria, British Columbia (28)","Dangerous operation, causing bodily harm",8,8,4,3,3
"Victoria, British Columbia (28)","Dangerous operation of motor vehicle, vessel or aircraft",17,23,24,15,22
"Victoria, British Columbia (28)","Dangerous operation evading police, causing death",0,0,0,0,0
"Victoria, British Columbia (28)","Dangerous operation evading police, causing bodily harm",0,0,1,0,0
"Victoria, British Columbia (28)",Dangerous operation of motor vehicle evading police,21,24,28,12,21
"Victoria, British Columbia (28)",Total fail to stop or remain (46),134,91,103,64,68
"Victoria, British Columbia (28)",Driving while prohibited,67,74,50,30,18
"Victoria, British Columbia (28)",Other Criminal Code traffic violations,2,0,1,0,1
"Victoria, British Columbia (28)",Causing death by criminal negligence while street racing,,,0,0,0
"Victoria, British Columbia (28)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Victoria, British Columbia (28)",Dangerous operation causing death while street racing,,,0,0,0
"Victoria, British Columbia (28)",Dangerous operation causing bodily harm while street racing,0,1,0,0,0
"Victoria, British Columbia (28)",Dangerous operation of motor vehicle while street racing,4,8,4,1,0
Yukon,"Total, all violations",8015,8555,7981,7981,8193
Yukon,Total Criminal Code traffic violations,451,460,475,390,479
Yukon,Total impaired driving (49),378,392,410,328,388
Yukon,"Impaired operation, causing death",1,0,2,1,1
Yukon,"Impaired operation (drugs), causing death",,,0,0,0
Yukon,"Impaired operation, causing bodily harm",1,4,5,5,3
Yukon,"Impaired operation (drugs), causing bodily harm",,,0,0,0
Yukon,"Impaired operation of motor vehicle, vessel or aircraft (51)",352,375,395,309,362
Yukon,"Impaired operation (drugs) vehicle, vessel, aircraft",5,2,2,3,13
Yukon,"Impaired operation, failure to provide breath sample",16,10,6,10,9
Yukon,Failure to comply or refusal (drugs),,,0,0,0
Yukon,"Impaired operation, failure to provide blood sample",3,1,0,0,0
Yukon,Failure to provide blood sample (drugs),,,0,0,0
Yukon,Total other Criminal Code traffic violations,73,68,65,62,91
Yukon,"Dangerous operation, causing death",0,0,0,0,0
Yukon,"Dangerous operation, causing bodily harm",3,1,1,3,2
Yukon,"Dangerous operation of motor vehicle, vessel or aircraft",16,23,21,15,15
Yukon,"Dangerous operation evading police, causing death",0,0,0,0,0
Yukon,"Dangerous operation evading police, causing bodily harm",0,0,0,0,0
Yukon,Dangerous operation of motor vehicle evading police,4,4,2,4,4
Yukon,Total fail to stop or remain (46),31,17,20,17,57
Yukon,Driving while prohibited,19,23,21,23,11
Yukon,Other Criminal Code traffic violations,0,0,0,0,0
Yukon,Causing death by criminal negligence while street racing,,,0,0,0
Yukon,Causing bodily harm by criminal negligence while street racing,,,0,0,0
Yukon,Dangerous operation causing death while street racing,,,0,0,0
Yukon,Dangerous operation causing bodily harm while street racing,,,0,0,0
Yukon,Dangerous operation of motor vehicle while street racing,,,0,0,2
Northwest Territories (15),"Total, all violations",20963,19973,22325,22751,22383
Northwest Territories (15),Total Criminal Code traffic violations,1051,813,882,753,780
Northwest Territories (15),Total impaired driving (49),941,670,742,633,665
Northwest Territories (15),"Impaired operation, causing death",2,1,1,0,1
Northwest Territories (15),"Impaired operation (drugs), causing death",,,0,0,0
Northwest Territories (15),"Impaired operation, causing bodily harm",7,7,2,3,5
Northwest Territories (15),"Impaired operation (drugs), causing bodily harm",,,0,0,0
Northwest Territories (15),"Impaired operation of motor vehicle, vessel or aircraft (51)",919,644,710,613,643
Northwest Territories (15),"Impaired operation (drugs) vehicle, vessel, aircraft",6,14,23,13,13
Northwest Territories (15),"Impaired operation, failure to provide breath sample",6,3,6,3,3
Northwest Territories (15),Failure to comply or refusal (drugs),,,0,0,0
Northwest Territories (15),"Impaired operation, failure to provide blood sample",1,1,0,1,0
Northwest Territories (15),Failure to provide blood sample (drugs),,,0,0,0
Northwest Territories (15),Total other Criminal Code traffic violations,110,143,140,120,115
Northwest Territories (15),"Dangerous operation, causing death",0,0,1,0,0
Northwest Territories (15),"Dangerous operation, causing bodily harm",2,4,5,1,0
Northwest Territories (15),"Dangerous operation of motor vehicle, vessel or aircraft",49,53,49,54,44
Northwest Territories (15),"Dangerous operation evading police, causing death",0,0,0,0,0
Northwest Territories (15),"Dangerous operation evading police, causing bodily harm",0,1,0,0,0
Northwest Territories (15),Dangerous operation of motor vehicle evading police,14,8,5,6,8
Northwest Territories (15),Total fail to stop or remain (46),12,23,24,17,21
Northwest Territories (15),Driving while prohibited,32,54,56,42,40
Northwest Territories (15),Other Criminal Code traffic violations,0,0,0,0,0
Northwest Territories (15),Causing death by criminal negligence while street racing,,,0,0,0
Northwest Territories (15),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation causing death while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation causing bodily harm while street racing,,,0,0,0
Northwest Territories (15),Dangerous operation of motor vehicle while street racing,1,0,0,0,2
Nunavut (15),"Total, all violations",11770,12830,13683,13488,14052
Nunavut (15),Total Criminal Code traffic violations,322,364,267,235,394
Nunavut (15),Total impaired driving (49),262,307,207,171,339
Nunavut (15),"Impaired operation, causing death",0,2,0,0,0
Nunavut (15),"Impaired operation (drugs), causing death",,,0,0,0
Nunavut (15),"Impaired operation, causing bodily harm",1,4,1,6,3
Nunavut (15),"Impaired operation (drugs), causing bodily harm",,,0,0,0
Nunavut (15),"Impaired operation of motor vehicle, vessel or aircraft (51)",254,291,203,159,326
Nunavut (15),"Impaired operation (drugs) vehicle, vessel, aircraft",2,7,3,5,9
Nunavut (15),"Impaired operation, failure to provide breath sample",5,3,0,1,0
Nunavut (15),Failure to comply or refusal (drugs),,,0,0,0
Nunavut (15),"Impaired operation, failure to provide blood sample",0,0,0,0,1
Nunavut (15),Failure to provide blood sample (drugs),,,0,0,0
Nunavut (15),Total other Criminal Code traffic violations,60,57,60,64,55
Nunavut (15),"Dangerous operation, causing death",0,0,0,0,0
Nunavut (15),"Dangerous operation, causing bodily harm",3,1,3,5,4
Nunavut (15),"Dangerous operation of motor vehicle, vessel or aircraft",29,26,29,32,33
Nunavut (15),"Dangerous operation evading police, causing death",,,0,0,0
Nunavut (15),"Dangerous operation evading police, causing bodily harm",0,0,0,1,0
Nunavut (15),Dangerous operation of motor vehicle evading police,8,10,7,4,2
Nunavut (15),Total fail to stop or remain (46),10,9,9,11,4
Nunavut (15),Driving while prohibited,10,11,11,11,12
Nunavut (15),Other Criminal Code traffic violations,0,0,0,0,0
Nunavut (15),Causing death by criminal negligence while street racing,,,0,0,0
Nunavut (15),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Nunavut (15),Dangerous operation causing death while street racing,,,0,0,0
Nunavut (15),Dangerous operation causing bodily harm while street racing,,,0,0,0
Nunavut (15),Dangerous operation of motor vehicle while street racing,,,1,0,0
