Geography,Violations ,2008,2009,2010,2011,2012
"Saint John, New Brunswick (4,47)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Saint John, New Brunswick (4,47)",Dangerous operation causing death while street racing,,,0,0,0
"Saint John, New Brunswick (4,47)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Saint John, New Brunswick (4,47)",Dangerous operation of motor vehicle while street racing,1,0,0,0,0
Quebec (50),"Total, all violations",461175,457412,440303,424040,416135
Quebec (50),Total Criminal Code traffic violations,41738,41347,40068,41103,41822
Quebec (50),Total impaired driving (49),16378,16507,16328,16804,16575
Quebec (50),"Impaired operation, causing death",52,50,51,26,15
Quebec (50),"Impaired operation (drugs), causing death",0,1,2,0,0
Quebec (50),"Impaired operation, causing bodily harm",366,367,339,344,298
Quebec (50),"Impaired operation (drugs), causing bodily harm",1,2,6,6,4
Quebec (50),"Impaired operation of motor vehicle, vessel or aircraft (51)",15292,15295,15354,16047,15755
Quebec (50),"Impaired operation (drugs) vehicle, vessel, aircraft",2,71,132,270,416
Quebec (50),"Impaired operation, failure to provide breath sample",630,697,430,111,84
Quebec (50),Failure to comply or refusal (drugs),,,3,0,2
Quebec (50),"Impaired operation, failure to provide blood sample",35,23,10,0,1
Quebec (50),Failure to provide blood sample (drugs),0,1,1,0,0
Quebec (50),Total other Criminal Code traffic violations,25360,24840,23740,24299,25247
Quebec (50),"Dangerous operation, causing death",25,32,29,13,12
Quebec (50),"Dangerous operation, causing bodily harm",121,146,156,167,147
Quebec (50),"Dangerous operation of motor vehicle, vessel or aircraft",1015,1093,1085,919,958
Quebec (50),"Dangerous operation evading police, causing death",1,2,0,0,1
Quebec (50),"Dangerous operation evading police, causing bodily harm",12,17,17,11,14
Quebec (50),Dangerous operation of motor vehicle evading police,532,502,611,649,575
Quebec (50),Total fail to stop or remain (46),22183,21605,20439,21186,22226
Quebec (50),Driving while prohibited,1374,1363,1335,1262,1231
Quebec (50),Other Criminal Code traffic violations,86,67,54,70,61
Quebec (50),Causing death by criminal negligence while street racing,,,1,0,1
Quebec (50),Causing bodily harm by criminal negligence while street racing,2,2,1,0,2
Quebec (50),Dangerous operation causing death while street racing,0,2,1,0,0
Quebec (50),Dangerous operation causing bodily harm while street racing,2,2,0,1,2
Quebec (50),Dangerous operation of motor vehicle while street racing,7,7,11,21,17
"Saguenay, Quebec (5)","Total, all violations",8075,8492,8628,8243,8091
"Saguenay, Quebec (5)",Total Criminal Code traffic violations,1806,1819,1830,1753,1795
"Saguenay, Quebec (5)",Total impaired driving (49),290,312,359,315,337
"Saguenay, Quebec (5)","Impaired operation, causing death",0,0,0,0,0
"Saguenay, Quebec (5)","Impaired operation (drugs), causing death",,,0,0,0
"Saguenay, Quebec (5)","Impaired operation, causing bodily harm",6,7,6,14,5
"Saguenay, Quebec (5)","Impaired operation (drugs), causing bodily harm",,,0,0,1
"Saguenay, Quebec (5)","Impaired operation of motor vehicle, vessel or aircraft (51)",275,299,349,301,330
"Saguenay, Quebec (5)","Impaired operation (drugs) vehicle, vessel, aircraft",,,0,0,1
"Saguenay, Quebec (5)","Impaired operation, failure to provide breath sample",7,6,3,0,0
"Saguenay, Quebec (5)",Failure to comply or refusal (drugs),,,0,0,0
"Saguenay, Quebec (5)","Impaired operation, failure to provide blood sample",2,0,1,0,0
"Saguenay, Quebec (5)",Failure to provide blood sample (drugs),,,0,0,0
"Saguenay, Quebec (5)",Total other Criminal Code traffic violations,1516,1507,1471,1438,1458
"Saguenay, Quebec (5)","Dangerous operation, causing death",1,0,1,0,0
"Saguenay, Quebec (5)","Dangerous operation, causing bodily harm",2,5,4,1,3
"Saguenay, Quebec (5)","Dangerous operation of motor vehicle, vessel or aircraft",16,13,20,17,19
"Saguenay, Quebec (5)","Dangerous operation evading police, causing death",0,0,0,0,1
"Saguenay, Quebec (5)","Dangerous operation evading police, causing bodily harm",1,0,0,0,0
"Saguenay, Quebec (5)",Dangerous operation of motor vehicle evading police,8,13,4,0,7
"Saguenay, Quebec (5)",Total fail to stop or remain (46),1455,1459,1410,1397,1410
"Saguenay, Quebec (5)",Driving while prohibited,31,17,32,23,17
"Saguenay, Quebec (5)",Other Criminal Code traffic violations,2,0,0,0,0
"Saguenay, Quebec (5)",Causing death by criminal negligence while street racing,,,0,0,0
"Saguenay, Quebec (5)",Causing bodily harm by criminal negligence while street racing,,,0,0,0
"Saguenay, Quebec (5)",Dangerous operation causing death while street racing,,,0,0,0
"Saguenay, Quebec (5)",Dangerous operation causing bodily harm while street racing,,,0,0,0
"Saguenay, Quebec (5)",Dangerous operation of motor vehicle while street racing,,,0,0,1
"Québec, Quebec","Total, all violations",36403,34797,33674,31857,29002
"Québec, Quebec",Total Criminal Code traffic violations,2450,2323,2289,2352,2438
"Québec, Quebec",Total impaired driving (49),1304,1241,1327,1414,1244
"Québec, Quebec","Impaired operation, causing death",2,1,4,3,0
"Québec, Quebec","Impaired operation (drugs), causing death",,,0,0,0
"Québec, Quebec","Impaired operation, causing bodily harm",38,40,39,38,31
"Québec, Quebec","Impaired operation (drugs), causing bodily harm",,,1,1,1
"Québec, Quebec","Impaired operation of motor vehicle, vessel or aircraft (51)",1238,1172,1240,1285,1113
"Québec, Quebec","Impaired operation (drugs) vehicle, vessel, aircraft",0,11,29,75,89
"Québec, Quebec","Impaired operation, failure to provide breath sample",26,17,14,12,9
"Québec, Quebec",Failure to comply or refusal (drugs),,,0,0,1
"Québec, Quebec","Impaired operation, failure to provide blood sample",0,0,0,0,0
"Québec, Quebec",Failure to provide blood sample (drugs),,,0,0,0
"Québec, Quebec",Total other Criminal Code traffic violations,1146,1082,962,938,1194
"Québec, Quebec","Dangerous operation, causing death",0,1,3,1,0
"Québec, Quebec","Dangerous operation, causing bodily harm",8,6,8,11,11
"Québec, Quebec","Dangerous operation of motor vehicle, vessel or aircraft",32,32,36,43,57
"Québec, Quebec","Dangerous operation evading police, causing death",0,1,0,0,0
"Québec, Quebec","Dangerous operation evading police, causing bodily harm",0,1,0,0,0
"Québec, Quebec",Dangerous operation of motor vehicle evading police,11,8,18,18,23
